city	state	avg_daylight_hours	apparition_type	event_type	Ozone_ppb_Description	SO2_ppb_Description	CO_ppb_Description
Toledo	ohio	12.97	Ghost Light	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Urbana	ohio	12.88	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Warren	ohio	13.02	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Warren	ohio	13.0	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Westerville	ohio	12.85	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Wooster	ohio	12.85	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Youngstown	ohio	12.9	Ghost	Natural Disaster	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Bay Head	new jersey	11.45	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
East Rutherford	new jersey	11.45	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Mays Landing	new jersey	11.45	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Passaic County	new jersey	11.45	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Roseland	new jersey	11.45	Ghost Light	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Chapanoke	north carolina	11.53	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Creswell	north carolina	11.53	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Frankfort	kentucky	11.5	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Glasgow	kentucky	11.5	Mist	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Ocracoke Island	north carolina	11.53	Ghost	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Pisgah	north carolina	11.53	Ghost	Accident	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Rutherfordton	north carolina	11.53	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Shepherdsville	kentucky	11.5	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Union	kentucky	11.5	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Vine Grove	kentucky	11.5	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Alma	kansas	11.47	Mist	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Baldwinsville	new york	11.42	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Brooklyn	new york	11.42	Ghost Light	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Fort Covington	new york	11.42	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Fulton	new york	11.42	Ghost	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Appleton	wisconsin	11.38	Mist	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Mount Sinai	new york	11.42	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Niagara Falls	new york	11.42	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Fond Du Lac	wisconsin	11.38	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Oswego	new york	11.42	Ghost	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Oswego	new york	11.42	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Port Byron	new york	11.42	Mist	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Rome	new york	11.42	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Sauquoit	new york	11.42	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Milwaukee	wisconsin	11.38	Partial Apparition	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Shirley	new york	11.42	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Prairie Du Chien	wisconsin	11.38	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
St. Bonaventure	new york	11.42	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Sylvan Beach	new york	11.42	Mist	Accident	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Rib Lake	wisconsin	11.38	Ghost Light	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Ripon	wisconsin	11.38	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Stoughton	wisconsin	11.38	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Waukesha	wisconsin	11.38	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Ames	iowa	11.4	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Cedar Falls	iowa	11.4	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Cedar Rapids	iowa	11.4	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Council Bluffs	iowa	11.4	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Davis County	iowa	11.4	Ghost Light	Natural Disaster	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Indianola	iowa	11.4	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Lamoni	iowa	11.4	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Oakdale	iowa	11.4	Shadow Figure	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Villisca	iowa	11.4	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Beckley	west virginia	11.5	Partial Apparition	War	Good Air Quality	Good Air Quality	Moderate Air Pollution
Harper's Ferry	west virginia	11.5	Ghost	Murder	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution
Bayard	new mexico	11.57	Mist	Death	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Long Beach	washington	11.27	Ghost Light	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Spokane	washington	11.27	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
